Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
4473ac847f597164696bc96da74ca753,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassigned
547b78057390d8dd87e029218928ab3c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
c43d57c87886a6cffbbbd617d0a08127,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unassigned,Unassigned,Unassigned
4e8d7a4662640b90817f015280cf5713,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Unassigned
d404761182ab38195d5245681f2452f5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_koreensis
8405088b6189faf6a7ac70405b8cf2b1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
5073eb042f1600783fe65118c8151bc3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unassigned
e618ba5cd2c70e833352bba6cc98abd1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Unassigned
d0eac7d8255844d19b6119765b1e3bdb,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium
fe4b9f529db44f65185d57fbfbd83061,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned
e3bdd615b4425764ed94026cfc6d9b46,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_Chlorophyta
c2485023d5fd5165d1616c46206273c9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Watanabea_reniformis
0eb88b722902316b11770922bcdaca7b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
05acb64d530de66995bc184b5d41d1be,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
17e562606dc747dd9f950ce27d3eb95a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
1c2b8892a0d7f828d72808cd01cfd199,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
496ecde24f9ab698992413d3d4f04b5f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_rhizophila
329f692a592e619363ad944c9f337e99,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_Chlorophyta
34746e50c808255ab3e9f16ce15b3dc4,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
f8a6381551e38ec8b9347d591feea194,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Coccomyxa_viridis
ef00864cd61bd46136ccd878a39d1cc2,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium
f5fe6f63caf833b642e2599be41be7d2,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Saccharibacillus,Unassigned
d114fb4c335125128be28401522dd41a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_lactis
a392d2393e5bc964b0c8a91dda40122b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_sp.
72479755b8fabed331b16ec469fd162d,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium
64806c9fd45b9532de9ef180f619d1b9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Castanea_mollissima
