,Domain,Phylum,Class,Order,Family,Genus,species,logFC,logCPM,PValue,FDR,Domain.1,Phylum.1,Class.1,Order.1,Family.1,Genus.1,species.1,Shape,Ord_Fam,Numb,FAM_ASV,Shape1,Treat
62b2f0af371ddfb3de1881aaed19e8da,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured_Actinomycetales,4.720385442,8.453042117,3.86428829000277e-16,1.02618322367851e-14,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured_Actinomycetales,21,"Actinomycetales, Actinomycetaceae","(0, 1)","Actinomycetales, Actinomycetaceae, (0, 1)",22,Control
cb8ea3364e6616648b64cc9524906368,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,Raoultibacter,uncultured_bacterium,2.319806994,6.749994186,9.37258596849324e-07,9.25424799892463e-06,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,Raoultibacter,uncultured_bacterium,21,"Coriobacteriales, Coriobacteriales_Incertae_Sedis","(0, 1)","Coriobacteriales, Coriobacteriales_Incertae_Sedis, (0, 1)",22,Control
ea50ab99242e77fd8d897c2c43449f84,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned,-2.437755245,9.509056686,4.13432213539916e-11,6.78109895345373e-10,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned,22,"Corynebacteriales, Mycobacteriaceae","(1, 0)","Corynebacteriales, Mycobacteriaceae, (1, 0)",21,Antibiotic Treated
08bdc6c81f6b9daab3d132b54e1d45bc,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Unassigned,2.541589813,9.118712491,6.86123963440868e-08,7.80874415535083e-07,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Unassigned,21,"Corynebacteriales, Nocardiaceae","(0, 1)","Corynebacteriales, Nocardiaceae, (0, 1)",22,Control
72f9e9afcc03ad4daa440ceae7b26211,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned,-1.965788434,6.600508072,0.000101296,0.000694543,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned,22,"Frankiales, Frankiaceae","(5, 0)","Frankiales, Frankiaceae, (5, 0)",21,Antibiotic Treated
632ef94da74307e2c56b17cccaa01305,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Jatrophihabitans_sp.,-2.645972294,7.108414384,2.14760765799692e-06,2.02991390498804e-05,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Jatrophihabitans_sp.,22,"Frankiales, Frankiaceae","(5, 0)","Frankiales, Frankiaceae, (5, 0)",21,Antibiotic Treated
2717d8b813ca6cefbe2390797ba22406,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned,-2.756111766,7.035402631,2.68993027370185e-06,2.44578986299087e-05,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned,22,"Frankiales, Frankiaceae","(5, 0)","Frankiales, Frankiaceae, (5, 0)",21,Antibiotic Treated
9d2c7e547a61784a327ee16d604583e4,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned,-2.794335408,7.108574509,1.34194822462415e-06,1.29773374554693e-05,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Unassigned,22,"Frankiales, Frankiaceae","(5, 0)","Frankiales, Frankiaceae, (5, 0)",21,Antibiotic Treated
c36c1890ad28d3dd5f0467f72f4fd78f,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,uncultured_Frankiaceae,-2.860894922,7.101062109,2.00543560448572e-05,0.000159009,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,uncultured_Frankiaceae,22,"Frankiales, Frankiaceae","(5, 0)","Frankiales, Frankiaceae, (5, 0)",21,Antibiotic Treated
03e9f6db04a61c4f8a17d2068972f6ac,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,Unassigned,-2.329684951,6.787466054,4.11587520130066e-05,0.000306038,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,Unassigned,22,"Frankiales, Geodermatophilaceae","(4, 0)","Frankiales, Geodermatophilaceae, (4, 0)",21,Antibiotic Treated
