Sample Name ,Sample Type and #,Treatment Type,Case Mass (g),Body Mass (g),Case Width (cm),Abodomen and Thorax Length (cm),Entire Length (cm)
DAL1,C1,untreated,0.3874,0.16137,0.8,1.7,2.2
DAL2,C2,untreated,0.6442,0.22043,0.9,1.5,2.3
DAL3,C3,untreated,0.42708,0.20961,0.7,1.5,1.9
DAL4,C4,untreated,0.65395,0.26148,0.9,2.2,2.7
DAL5,C5a,untreated,0.58263,0.1505,0.8,1.6,2
DAL6,C5b,untreated,0.40899,0.2143,0.8,1.6,2.1
DAL7,C6,untreated,0.53938,0.20261,0.9,1.4,1.9
DAL8,C7,untreated,0.56337,0.18355,0.9,1.2,1.9
DAL9,C8,untreated,0.66135,0.27244,0.9,1.7,2.3
DAL10,C9,untreated,0.72788,0.23742,1.1,2.3,2.8
DAL11,C10,untreated,0.65621,0.12141,1,1.7,2.1
DAL12,C11,untreated,0.28834,0.1777,0.8,1.5,1.9
DAL13,C12,untreated,0.3636,0.1607,0.8,1.5,1.9
DAL14,C13,untreated,0.3988,0.20678,0.7,1.6,1.9
DAL15,C14,untreated,0.11093,0.07095,0.6,1.1,1.6
DAL16,C16,untreated,0.75419,0.13387,0.6,1.7,2.5
DAL17,C18,untreated,0.90477,0.35184,1.3,1.7,2.3
DAL18,C19,untreated,0.39844,0.22775,0.8,1.6,2.4
DAL19,AB1,treated,0.66975,0.30851,1.1,2.1,2.5
DAL20,AB2,treated,0.2682,0.22652,0.8,1.7,2.1
DAL21,AB3,treated,0.34495,0.2135,0.7,1.9,2.3
DAL22,AB4,treated,0.51951,0.1543,0.8,1.6,2
DAL23,AB6,treated,0.3879,0.15852,0.7,1.7,2.2
DAL24,AB7,treated,0.86241,0.48665,1,2.1,2.6
DAL25,AB8,treated,0.54344,0.12353,0.9,1.5,1.9
DAL26,AB9,treated,0.22344,0.13937,0.4,1.2,1.7
DAL27,AB10,treated,0.18182,0.13965,0.7,1.2,1.7
DAL28,AB11,treated,0.22773,0.10525,0.7,1.6,2.1
DAL29,AB12,treated,0.23106,0.12945,0.7,1.6,2.2
DAL30,AB13,treated,0.20582,0.10856,0.7,1.4,1.8
DAL31,AB14,treated,0.33958,0.17455,0.8,1.4,2.1
DAL32,AB15,treated,0.69127,0.2624,0.9,1.9,2.4
DAL33,AB16,treated,0.3972,0.19202,0.9,1.9,2.4
DAL34,AB17,treated,0.23766,0.11726,0.7,1.4,1.9
DAL35,AB18,treated,0.41458,0.22933,0.9,1.6,1.9
DAL36,AB19,treated,0.60669,0.24565,1,1.5,2.2
DAL37,AB20,treated,0.43169,0.25656,0.7,1.6,2.2
NEGATIVE_CONTROL_1,BLANK1,BLANK1,NA,NA,NA,NA,NA
NEGATIVE_CONTROL_2,BLANK2,BLANK2,NA,NA,NA,NA,NA
NEGATIVE_CONTROL_3,BLANK3,BLANK3,NA,NA,NA,NA,NA
