,Domain,Phylum,Class,Order,Family,Genus,species,FamGenSpASV,PhyOrdFam
ASV1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV2,Proteobacteria; Rhizobiales; Devosiaceae
ASV3,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales; ASV3,Firmicutes; Lactobacillales
ASV4,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV4,Firmicutes; Clostridiales; Clostridiaceae
ASV5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_koreensis,Sphingomonadales; Sphingomonadaceae; Sphingomonas; Sphingomonas_koreensis; ASV5,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV6,Proteobacteria; Burkholderiales; Comamonadaceae
ASV7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; ASV7,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV8,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV8,Firmicutes; Lactobacillales; Streptococcaceae
ASV9,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium,RsaHf231; RsaHf231; RsaHf231; uncultured_bacterium; ASV9,Firmicutes; RsaHf231; RsaHf231
ASV10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV10,Proteobacteria; Burkholderiales; Comamonadaceae
ASV11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV11,Proteobacteria; Rhizobiales; Devosiaceae
ASV12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV12,Proteobacteria; Rhizobiales; Devosiaceae
ASV13,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_rhizophila,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas_rhizophila; ASV13,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV14,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium,RsaHf231; RsaHf231; RsaHf231; uncultured_bacterium; ASV14,Firmicutes; RsaHf231; RsaHf231
ASV15,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Saccharibacillus,,Paenibacillales; Paenibacillaceae; Saccharibacillus; ASV15,Firmicutes; Paenibacillales; Paenibacillaceae
ASV16,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_lactis,Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis; ASV16,Firmicutes; Lactobacillales; Streptococcaceae
ASV17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_sp.,Rhizobiales; Devosiaceae; Devosia; Devosia_sp.; ASV17,Proteobacteria; Rhizobiales; Devosiaceae
ASV18,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium,Erysipelotrichales; Erysipelotrichaceae; ZOR0006; uncultured_bacterium; ASV18,Firmicutes; Erysipelotrichales; Erysipelotrichaceae
ASV19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV19,Proteobacteria; Rhizobiales; Devosiaceae
ASV20,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_garvieae,Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_garvieae; ASV20,Firmicutes; Lactobacillales; Streptococcaceae
ASV21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,Burkholderiales; Oxalobacteraceae; Janthinobacterium; ASV21,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV22,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV22,Proteobacteria; Burkholderiales; Comamonadaceae
ASV23,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV23,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV24,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,Rhizobiales; Xanthobacteraceae; Bradyrhizobium; ASV24,Proteobacteria; Rhizobiales; Xanthobacteraceae
ASV25,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,,Paenibacillales; Paenibacillaceae; Paenibacillus; ASV25,Firmicutes; Paenibacillales; Paenibacillaceae
ASV26,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV26,Proteobacteria; Rhizobiales; Devosiaceae
ASV27,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,uncultured_planctomycete,Planctomycetales; Rubinisphaeraceae; SH-PL14; uncultured_planctomycete; ASV27,Planctomycetota; Planctomycetales; Rubinisphaeraceae
ASV28,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,,,Micrococcales; Intrasporangiaceae; ASV28,Actinobacteriota; Micrococcales; Intrasporangiaceae
ASV29,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_rhizophila,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas_rhizophila; ASV29,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV30,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium,RsaHf231; RsaHf231; RsaHf231; uncultured_bacterium; ASV30,Firmicutes; RsaHf231; RsaHf231
ASV31,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales; ASV31,Firmicutes; Lactobacillales
ASV32,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV32,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV33,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_borealis,Paenibacillales; Paenibacillaceae; Paenibacillus; Paenibacillus_borealis; ASV33,Firmicutes; Paenibacillales; Paenibacillaceae
ASV34,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,Lactobacillales; Carnobacteriaceae; Carnobacterium; ASV34,Firmicutes; Lactobacillales; Carnobacteriaceae
ASV35,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV35,Proteobacteria; Rhizobiales; Devosiaceae
ASV36,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,,Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; ASV36,Proteobacteria; Rhizobiales; Beijerinckiaceae
