Sample,PLATE,SAMPLE,Home/Away,ROW,COLUMN,Original Mass,Final Mass,Mass Consumed,% Consumed,Bucket,Treatment,Mass Consumed_1
589,1,ELK-4,H,F,11,0.32,0.33,-0.01,-3.125,1,Untreated,0
433,1,LH-1,A,E,2,0.34,0.33,0.01,2.941176471,1,Untreated,0.01
817,1,LH-10,A,H,10,0.39,0.36,0.03,7.692307692,1,Untreated,0.03
97,1,ELK-4,H,B,1,0.34,0.31,0.03,8.823529412,1,Untreated,0.03
313,1,ELK-2,H,D,1,0.33,0.3,0.03,9.090909091,1,Untreated,0.03
49,1,LH-6,A,A,7,0.38,0.34,0.04,10.52631579,1,Untreated,0.04
325,1,LH-3,A,D,5,0.38,0.34,0.04,10.52631579,1,Untreated,0.04
337,1,LH-1,A,D,6,0.36,0.32,0.04,11.11111111,1,Untreated,0.04
553,1,LH-3,A,F,8,0.38,0.33,0.05,13.15789474,1,Untreated,0.05
289,1,ELK-6,H,C,10,0.38,0.33,0.05,13.15789474,1,Untreated,0.05
505,1,ELK-3,H,F,2,0.4,0.35,0.05,12.5,1,Untreated,0.05
601,1,ELK-9,H,G,1,0.39,0.34,0.05,12.82051282,1,Untreated,0.05
793,1,ELK-6,H,H,8,0.34,0.29,0.05,14.70588235,1,Untreated,0.05
13,1,LH-4,A,A,3,0.39,0.33,0.06,15.38461538,1,Untreated,0.06
373,1,LH-2,A,D,9,0.34,0.28,0.06,17.64705882,1,Untreated,0.06
697,1,LH-5,A,G,9,0.36,0.3,0.06,16.66666667,1,Untreated,0.06
361,1,ELK-5,H,D,8,0.4,0.34,0.06,15,1,Untreated,0.06
469,1,ELK-4,H,E,7,0.38,0.32,0.06,15.78947368,1,Untreated,0.06
229,1,LH-4,A,C,4,0.39,0.32,0.07,17.94871795,1,Untreated,0.07
241,1,LH-6,A,C,5,0.39,0.32,0.07,17.94871795,1,Untreated,0.07
385,1,LH-2,A,D,10,0.38,0.31,0.07,18.42105263,1,Untreated,0.07
565,1,LH-4,A,F,9,0.39,0.32,0.07,17.94871795,1,Untreated,0.07
685,1,LH-10,A,G,8,0.37,0.3,0.07,18.91891892,1,Untreated,0.07
805,1,LH-2,A,H,9,0.41,0.34,0.07,17.07317073,1,Untreated,0.07
445,1,ELK-3,H,E,3,0.37,0.3,0.07,18.91891892,1,Untreated,0.07
518,1,ELK-9,H,F,3,0.37,0.3,0.07,18.91891892,1,Untreated,0.07
661,1,ELK-2,H,G,6,0.4,0.33,0.07,17.5,1,Untreated,0.07
829,1,ELK-5,H,H,12,0.41,0.34,0.07,17.07317073,1,Untreated,0.07
109,1,LH-10,A,B,4,0.4,0.32,0.08,20,1,Untreated,0.08
157,1,LH-8,A,B,9,0.4,0.32,0.08,20,1,Untreated,0.08
265,1,LH-5,A,C,7,0.34,0.26,0.08,23.52941176,1,Untreated,0.08
457,1,LH-3,A,E,6,0.41,0.33,0.08,19.51219512,1,Untreated,0.08
541,1,LH-7,A,F,6,0.43,0.35,0.08,18.60465116,1,Untreated,0.08
733,1,LH-1,A,G,12,0.33,0.25,0.08,24.24242424,1,Untreated,0.08
