"","filename_mzML","filename","Sample_Name","Day","Type","Origin","Deploy","Tree_ID","Sample_Order","Extension","filename_extension"
"1","JRD_HFA_MSM_137.mzML","JRD_HFA_MSM_137","SEK1_1_HOK1_15_JRD","Day_15","RTE_Decomp","SEK1","HOK1","SEK1_1",7,".mzML","JRD_HFA_MSM_137.mzML.Peak.area"
"2","JRD_HFA_MSM_82.mzML","JRD_HFA_MSM_82","SEK2_1_SEK2_10_JRD","Day_10","RTE_Decomp","SEK2","SEK2","SEK2_1",8,".mzML","JRD_HFA_MSM_82.mzML.Peak.area"
"3","JRD_HFA_MSM_66.mzML","JRD_HFA_MSM_66","SEK1_2_SEK2_10_JRD","Day_10","RTE_Decomp","SEK1","SEK2","SEK1_2",9,".mzML","JRD_HFA_MSM_66.mzML.Peak.area"
"4","JRD_HFA_MSM_143.mzML","JRD_HFA_MSM_143","SEK1_2_SEK1_15_JRD","Day_15","RTE_Decomp","SEK1","SEK1","SEK1_2",10,".mzML","JRD_HFA_MSM_143.mzML.Peak.area"
"5","JRD_HFA_MSM_350.mzML","JRD_HFA_MSM_350","HOK2_3_m","Day_NA","SAMPLE_POWDER_METAB","HOK2",NA,"HOK2_3",11,".mzML","JRD_HFA_MSM_350.mzML.Peak.area"
"6","JRD_HFA_MSM_209.mzML","JRD_HFA_MSM_209","HOK2_4_HOK1_20_JRD","Day_20","RTE_Decomp","HOK2","HOK1","HOK2_4",12,".mzML","JRD_HFA_MSM_209.mzML.Peak.area"
"7","JRD_HFA_MSM_277.mzML","JRD_HFA_MSM_277","HOK2_1_SEK1_5_JRD","Day_5","RTE_Decomp","HOK2","SEK1","HOK2_1",13,".mzML","JRD_HFA_MSM_277.mzML.Peak.area"
"8","JRD_HFA_MSM_61.mzML","JRD_HFA_MSM_61","SEK1_1_SEK1_10_JRD","Day_10","RTE_Decomp","SEK1","SEK1","SEK1_1",14,".mzML","JRD_HFA_MSM_61.mzML.Peak.area"
"9","JRD_HFA_MSM_310.mzML","JRD_HFA_MSM_310","SEK1_5_HOK2_5_JRD","Day_5","RTE_Decomp","SEK1","HOK2","SEK1_5",15,".mzML","JRD_HFA_MSM_310.mzML.Peak.area"
"10","JRD_HFA_MSM_332.mzML","JRD_HFA_MSM_332","SEK2_5_SEK2_5_JRD","Day_5","RTE_Decomp","SEK2","SEK2","SEK2_5",16,".mzML","JRD_HFA_MSM_332.mzML.Peak.area"
"11","JRD_HFA_MSM_25.mzML","JRD_HFA_MSM_25","HOK1_2_HOK1_10_JRD","Day_10","RTE_Decomp","HOK1","HOK1","HOK1_2",21,".mzML","JRD_HFA_MSM_25.mzML.Peak.area"
