"","Feature","Combined_Name","Scan","row.m.z","row.retention.time","neutral.M.mass","best.ion","correlation.group.ID","annotation.network.number","partners","FBMN_cluster","FBMN_Compound_Name","sus_deltamz","Sirius_precursorFormula","FBMN_superclass","FBMN_class","FBMN_subclass","FBMN_npclassifier_superclass","FBMN_npclassifier_class","FBMN_npclassifier_pathway","CMMC_NPClassifier_class","CMMC_NPClassifier_superclass","CMMC_NPClassifier_pathway","Sirius_NPC.superclass","Sirius_NPC.class","Sirius_NPC.pathway","Sirius_NPC.pathway.Probability","Sirius_NPC.superclass.Probability","Sirius_NPC.class.Probability","Sirius_ClassyFire.all.classifications","Sirius_ClassyFire.superclass","Sirius_ClassyFire.superclass.probability","Sirius_ClassyFire.class","Sirius_ClassyFire.class.Probability","Sirius_ClassyFire.subclass","Sirius_ClassyFire.subclass.Probability","Sirius_ClassyFire.level.5","Sirius_ClassyFire.level.5.Probability","Sirius_ClassyFire.most.specific.class","Sirius_ClassyFire.most.specific.class.Probability","row.ion.mobility","row.ion.mobility.unit","row.CCS","auto.MS2.verify","identified.by.n.","FBMN_SpectrumID","FBMN_LibraryName","FBMN_MQScore","FBMN_TIC_Query","FBMN_RT_Query","FBMN_MZErrorPPM","FBMN_SharedPeaks","FBMN_MassDiff","FBMN_SpecMZ","FBMN_SpecCharge","FBMN_NumberHits","FBMN_Ion_Source","FBMN_Instrument","FBMN_Compound_Source","FBMN_Adduct","FBMN_Precursor_MZ","FBMN_ExactMass","FBMN_Charge","FBMN_CAS_Number","FBMN_Pubmed_ID","FBMN_INCHI","FBMN_Library_Class","FBMN_IonMode","FBMN_Organism","FBMN_LibMZ","FBMN_UpdateWorkflowName","FBMN_LibraryQualityString","FBMN_tags","FBMN_molecular_formula","FBMN_InChIKey","FBMN_InChIKey.Planar","FBMN_library_usi","CMMC_LibrarySpectrumID","CMMC_prec_mz","CMMC_MQScore","CMMC_LibSearchSharedPeaks","CMMC_ParentMassDiff","CMMC_input_name","CMMC_input_molecule_origin","CMMC_input_original_molecule_name","CMMC_input_original_molecule_structure","CMMC_input_microbe_ncbi","CMMC_input_microbe_name","CMMC_input_microbe_DNARNA","CMMC_input_microbial_community","CMMC_input_microbial_community_description","CMMC_input_biosynthesis_mibig","CMMC_input_biosynthesis_genes","CMMC_input_biosynthesis_description","CMMC_input_source","CMMC_input_activity","CMMC_input_concentration_activity","CMMC_input_phenotype_associated","CMMC_input_phenotype_direction","CMMC_input_concentration_phenotype","CMMC_input_references","CMMC_input_comment","CMMC_database_id","Sirius_formulaRank","Sirius_molecularFormula","Sirius_adduct","Sirius_ZodiacScore.x","Sirius_SiriusScoreNormalized.x","Sirius_SiriusScore.x","Sirius_TreeScore","Sirius_IsotopeScore","Sirius_numExplainedPeaks","Sirius_explainedIntensity","Sirius_medianMassErrorFragmentPeaks.ppm.","Sirius_medianAbsoluteMassErrorFragmentPeaks.ppm.","Sirius_massErrorPrecursor.ppm.","Sirius_lipidClass","Sirius_ionMass","Sirius_structurePerIdRank","Sirius_Structure_ConfidenceScoreExact","Sirius_Structure_ConfidenceScoreApproximate","Sirius_CSI.FingerIDScore","Sirius_ZodiacScore.y","Sirius_SiriusScoreNormalized.y","Sirius_SiriusScore.y","Sirius_InChI","Sirius_name","Sirius_smiles","Sirius_pubchemids","Sirius_xlogp","Sirius_dbflags"
"1","Feature_323","Feature_323_CMMC_Glucono-Delta-Lactone; gluconolactone_FBMN_GULONIC ACID GAMMA-LACTONE_SIRIUS_C6H10N2O6",323,207.058876848285,0.5961246,NA,"",67,NA,"",-1,"GULONIC ACID GAMMA-LACTONE","N","C6H11N2O6+","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","","","Carbohydrates","Monosaccharides","Saccharides","Carbohydrates","Nucleosides","Monosaccharides","Carbohydrates",0.994,0.371,0.143,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic nitro compounds; Pentoses; Monosaccharides; Secondary alcohols; Polyols; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Organic oxygen compounds",1,"Organooxygen compounds",0.999,"Carbohydrates and carbohydrate conjugates",0.986,"Monosaccharides",0.972,"Pentoses",0.77,NA,NA,NA,"",NA,"CCMSLIB00006682239","MONA.mgf",0.760589,1868390,0,156398,9,28.0039,207.059,1,1,"ESI","qTof","isolated","M+H",179.055,0,1,"N/A","N/A","""InChI=1S/C6H10O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2-5,7-10H,1H2/t2-,3+,4-,5+/m0/s1""",3,"positive","MONA",179.055,"UPDATE-SINGLE-ANNOTATED-BRONZE","Bronze","","C6H10O6","SXZYCXMUPBBULW-SKNVOMKLSA-N","SXZYCXMUPBBULW","mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006682239","mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679046",207.059,0.73323,8,28.0039,"Glucono-Delta-Lactone; gluconolactone","Diet; De novo biosynthesis by microbes (e.g., natural products and other specialized metabolites); Diet;Drug","nan","nan","nan","nan","nan",NA,"nan","nan","nan","nan","Diet;Drug; Diet; Microbial","Mechanism of action: NA. Therapeutic indication: NA.; nan","nan","nan","nan","nan","nan; 35669896","Mechanism of action and therapeutic indication were retrieved from the drug library referenced.; Biomarker based on literature search for: (rice noodle); Found in foodMASST for: (IPA, top round, ahi tuna, fish_saltwater, coconut, merlot, red, trout, eye, kombucha, tap water, sumac, chicken, grain_fermented, brut, pork shoulder, mint, dairy, beet, head, zinfindel, strawberry, beer, peanut, sparkling water, olive, yogurt_cow, shoulder chops, turkey, carrot, port, white wine, complex, vanilla bean, fruit, animal, grape, cabernet sauvignon, corn husk, meat, vitamin E thiamine, potato, plant, soda, milk_cow, apple_cider, red wine, agave sap, vitamin E, green grape, grain/grass, butter, barley, coffee, onion, petit sirah, squid, white, lamb, fleshy fruit, wheat beer, raspberry,beet, prosciutto, pinot noir, apple, pot roast, beef, chicken thigh, self caught fish, cream_cow, watermelon, lemon, riesling)","fd57221dda994c3cb62795a54ce7ca6c-12d2bc7e-2085-45ae-bf2b-c5a186fbca1d; 0f3a8d00a3b647a4baee3e1b1238ce6a-45aa1700-0c2d-4025-bb08-5cf28b7b1c46",1,"C6H10N2O6","[M + H]+",1,1,146.678,146.678,0,29,0.51,2.084,2.477,-11.023,"",207.059,1,0.166,0.166,-129.05,1,1,146.678,"InChI=1S/C6H10N2O6/c9-1-2-3(7-12)4(10)5(11)6(8-13)14-2/h2-6,9-11H,1H2","(2R,5S)-6-(hydroxymethyl)-2,5-dinitrosooxane-3,4-diol","C(C1C(C(C(C(O1)N=O)O)O)N=O)O","89198296",-2,2
"2","Feature_361","Feature_361_CMMC_Caffeic acid_FBMN_3-[(2-oxo-2,3-dihydro-1H-indol-1-yl)methyl]furan-2-carboxylic acid_SIRIUS_C4H7NO7",361,219.985232519853,0.5606542,NA,"",67,NA,"",1590,"3-[(2-oxo-2,3-dihydro-1H-indol-1-yl)methyl]furan-2-carboxylic acid","N","C4H7KNO7+","N/A","N/A","N/A","","","","Cinnamic acids and derivatives","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Small peptides","Aminoacids","Carbohydrates",0.838,0.633,0.681,"Organic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Organic acids and derivatives",0.979,"Carboxylic acids and derivatives",0.976,"Amino acids, peptides, and analogues",0.797,"Amino acids and derivatives",0.792,"Alpha amino acids and derivatives",0.615,NA,NA,NA,"",NA,"CCMSLIB00012998203","MSNLIB-POSITIVE.mgf",0.874659,530275,0,83646.9,5,20.0808,219.985,1,1,"ESI","Orbitrap","Commercial","[M+H-H2O]+",240.066,257.069,1,"N/A","N/A","InChI=1S/C14H11NO4/c16-12-7-9-3-1-2-4-11(9)15(12)8-10-5-6-19-13(10)14(17)18/h1-6H,7-8H2,(H,17,18)",1,"Positive","MSNLIB-POSITIVE",240.066,"UPDATE-SINGLE-ANNOTATED-GOLD","Gold","","C14H11NO4","VOWVIUIGYGGTCY-UHFFFAOYSA-N","VOWVIUIGYGGTCY","mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012998203","mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012176439",219.985,0.81426,5,56.9452,"Caffeic acid","Diet; De novo biosynthesis by microbes (e.g., natural products and other specialized metabolites)","p-Coumaric acid","OC(=O)/C=C/c1ccc(O)cc1","1911; 52258; 2893586; 29861; 5643","Streptomyces griseus; Streptomyces nigrifaciens; Streptomyces caeruleus; Gliocladium deliquescens; Pycnoporus cinnabarinus","nan",NA,"nan","nan","nan","nan","Diet; Microbial","nan","nan","nan","nan","nan","29997698","Biomarker based on literature search for: (Coffee); Found in foodMASST for: (peanut, amaranth, orange bell pepper, red radish greens, japanese eggplant, mango, orange carrot, kale, kombucha, young sweet corn, black olive, cranberry, tomato, strawberry, orange thyme, yellow cherry tomato, napa cabbage, olive, sparkling water, curly leaf lettuce, sunflower seed, honey, carrot, green pepper, white wine, cabernet sauvignon, globe artichoke, pineapple sage, rosemary, vegetable/herb, jalapeno pepper, lavender, rose wine, quince, cassis, red bell pepper, vitamin E, plum, nasturtium leaf, meyer lemon, chili pepper, pachino cherry tomato, berry, apple, thai pepper, navel orange, cilantro, lemon, matcha green tea, basil, Black tea, garlic powder, herb/spice, carrot greens, cowpea, lemon grass, red, merlot, pepper, nectarine, walnut, chia, african blue basil, zuchini blossom, cherry tomato, wonderberry, purple basil, yerba mate, apricot, fruit, brown sea vegetable, collard greens, cucumber, green bell pepper, red radish, asparagus, plant, english pea, balsamic vinegar, salt, apple_cider, dill, red raspberry, chocolate mint, orange cherry tomato, petit sirah, pomegranate, red cherry tomato, syrah, Frederick passion fruit, white, kiwi, borage flower, vegetable, green chili pepper, sugar plum tomatoes, betel nut leaf, sweet potato leaf, blueberry, timothy grass, grape tomato, nasturtium flower, riesling, curry plant, mint, butter leaf lettuce, barlett pear, white peach, greek basil, filet, avocado, shishito pepper, lime, mint mojito, complex, lemon balm, green tomato, corn, Oolong tea, asian pear, potato, cherry, eggplant, red wine, Green tea, grain/grass, red lentil, oat, coffee, thyme, romaine lettuce, red leaf lettuce, blood orange, artichoke, fleshy fruit, bok choy, marjoram, sage, miyaki mushroom, pear, garlic, turkey outer surface, pepperonchini, dill flower, borage leaf, broccoli, fig, shiitake mushroom, oregano, cannabis leaf, jicama, passionfruit, ice cream, dragonfruit, pork chop, tuna, thai eggplant, turkey inner meat, sungold tomato, zucchini, blackberry, white carrot, grapefruit, port, roma tomato, grape, kalamata, corn husk, lapacho bark, heirloom tomato, sweet potato, lettuce, rice, honey_clover, thai basil, heirloom lettuce, octopus, purple lettuce)","fd57221dda994c3cb62795a54ce7ca6c-2191e0af-1e63-4792-a460-5b2eae0d12cf",1,"C4H7NO7","[M + K]+",0.938,0.917,46.724,46.724,0,15,0.896,-2.594,4.242,-0.817,"",219.985,2,0.02,0.02,-106.174,0.938,0.917,46.724,"InChI=1S/C4H7NO7/c6-1-2(7)4(10,3(8)9)5(11)12/h2,6-7,10H,1H2,(H,8,9)","2,3,4-Trihydroxy-2-nitrobutanoic acid","C(C(C(C(=O)O)([N+](=O)[O-])O)O)O","23423156",-2.2,2
"3","Feature_399","Feature_399_SIRIUS_CH6NO4S2",399,182.962437021667,0.5614825,NA,"",67,NA,"",817,NA,"N","CH6NNaO4S2+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small peptides","Aminoacids","Amino acids and Peptides",0.407,0.225,0.162,"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Organic acids and derivatives",0.999,"Organic sulfonic acids and derivatives",0.921,"Organosulfonic acids and derivatives",0.918,"Alkanesulfonic acids and derivatives",0.63,"Alkanesulfonic acids",0.623,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CH6NO4S2","[M + Na]+",0.778,0.689,30.868,30.868,0,6,0.247,7.773,7.773,-3.309,"",182.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Feature_407","Feature_407",407,243.960886992215,0.5654719,261.97179,"[M-H2O+?]+",67,4,"407;540",-1,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Feature_412","Feature_412_FBMN_Purpurogalline_SIRIUS_C4H6F2NO4P",412,223.989289119251,0.56513095,NA,"",67,NA,"",1590,"Purpurogalline","N","C4H6F2NNaO4P+","Hydrocarbon derivatives","Tropones","Tropolones","","","Polyketides",NA,NA,NA,"Small peptides","Aminoacids","Amino acids and Peptides",0.657,0.501,0.519,"Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Alkyl fluorides; Organic phosphonic acids; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Organic acids and derivatives",0.991,"Organic phosphonic acids and derivatives",0.965,"Organic phosphonic acids",0.707,"",NA,"Organic phosphonic acids",0.707,NA,NA,NA,"",NA,"CCMSLIB00012309016","MSNLIB-NEGATIVE.mgf",0.837135,2288140,0,22642.1,6,4.95929,223.989,1,1,"ESI","Orbitrap","Crude","[M-H]-",219.03,220.037,1,"N/A","N/A","InChI=1S/C11H8O5/c12-6-3-1-2-5-4-7(13)10(15)11(16)8(5)9(6)14/h1-4,13,15-16H,(H,12,14)",1,"Negative","MSNLIB-NEGATIVE",219.03,"UPDATE-SINGLE-ANNOTATED-GOLD","Gold","","C11H8O5","WDGFFVCWBZVLCE-UHFFFAOYSA-N","WDGFFVCWBZVLCE","mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012309016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"C4H6F2NO4P","[M + Na]+",0.938,0.579,50.307,50.307,0,17,0.412,1.542,3.359,-0.81,"",223.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Feature_413","Feature_413_FBMN_caffeic acid CollisionEnergy:205060_SIRIUS_C4H6N2O3S",413,200.973078807066,0.56007934,NA,"",67,NA,"",-1,"caffeic acid CollisionEnergy:205060","N","C4H6KN2O3S+","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Shikimates and Phenylpropanoids",NA,NA,NA,"Fatty Acids and Conjugates","Imidazole alkaloids","Fatty acids",0.529,0.288,0.215,"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Organic nitrogen compounds",0.901,"Organonitrogen compounds",0.721,"",NA,"",NA,"Organonitrogen compounds",0.721,NA,NA,NA,"",NA,"CCMSLIB00010122410","BERKELEY-LAB.mgf",0.709536,645899,0,110042,5,19.9231,200.973,1,1,"LC-ESI","Orbitrap","Commercial","M+H",181.05,0,1,"N/A","N/A","""InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+""",3,"Positive","BERKELEY-LAB",181.05,"UPDATE-SINGLE-ANNOTATED-BRONZE","Bronze","","C9H8O4","QAIPRVGONGVQAS-UHFFFAOYSA-N","QAIPRVGONGVQAS","mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010122410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"C4H6N2O3S","[M + K]+",1,1,97.709,97.709,0,23,0.178,0.001,4.014,0.044,"",200.973,1,0.027,0.027,-143.748,1,1,97.709,"InChI=1S/C4H6N2O3S/c5-10(7,8)3-4-1-2-9-6-4/h1-2H,3H2,(H2,5,7,8)","1,2-Oxazol-3-ylmethanesulfonamide","C1=CON=C1CS(=O)(=O)N","69615604",-1.1,67108866
"7","Feature_417","Feature_417_CMMC_uridine triacetate_FBMN_GTRI-02_SIRIUS_C10H8MgN5O3S",417,303.028436919397,0.5698767,NA,"",67,NA,"",60,"GTRI-02","N","C10H9MgN5O3S+","N/A","N/A","N/A","Naphthalenes","Naphthalenones","Polyketides","Pyrimidine nucleos(t)ides","Nucleosides","Carbohydrates","Pseudoalkaloids (transamidation)","Purine alkaloids","Alkaloids",0.557,0.124,0.267,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazines; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Benzenoids",0.504,"",NA,"",NA,"",NA,"Benzenoids",0.504,NA,NA,NA,"",NA,"CCMSLIB00012416035","MSNLIB-NEGATIVE.mgf",0.869675,16450300,0,300094,5,69.9464,303.028,1,1,"ESI","Orbitrap","Isolated","[M-H]-",233.082,234.089,1,"N/A","N/A","InChI=1S/C13H14O4/c1-6-12(7(2)14)10(16)4-8-3-9(15)5-11(17)13(6)8/h4,9,15-16H,3,5H2,1-2H3",1,"Negative","MSNLIB-NEGATIVE",233.082,"UPDATE-SINGLE-ANNOTATED-GOLD","Gold","","C13H14O4","ODXUROYZJHIZHE-UHFFFAOYSA-N","ODXUROYZJHIZHE","mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012416035","mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006404007",303.028,0.711941,5,57.9484,"uridine triacetate","Drug","nan","nan","nan","nan","nan",NA,"nan","nan","nan","nan","Drug","Mechanism of action: pyrimidine analog. Therapeutic indication: orotic aciduria|fluorouracil overdose|capecitabine overdose.","nan","nan","nan","nan","nan","Mechanism of action and therapeutic indication were retrieved from the drug library referenced.","d7d5494e4bd9481493e4ce0db4a580d7-201ab1fb-6b15-40b8-a203-e20f14850a72",1,"C10H8MgN5O3S","[M + H]+",0.449,0.188,43.22,39.032,4.189,15,0.886,1.514,1.708,4.411,"",303.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Feature_418","Feature_418_SIRIUS_C11H4O7",418,286.958784751893,0.5690867,NA,"",67,NA,"",908,NA,"N","C11H4KO7+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phenolic acids (C6-C1)","Gallotannins","Shikimates and Phenylpropanoids",0.942,0.647,0.519,"Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Phenols; Coumarins and derivatives; Ellagic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Hydrolyzable tannins; Isocoumarins and derivatives; Polyols; Benzenoids; 7,8-dihydroxycoumarins; Hydroxycoumarins; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities","Phenylpropanoids and polyketides",0.419,"Tannins",0.378,"Hydrolyzable tannins",0.573,"",NA,"Hydrolyzable tannins",0.573,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"C11H4O7","[M + K]+",0.999,0.995,76.401,76.401,0,11,0.738,-0.739,2.494,-0.281,"",286.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Feature_446","Feature_446_SIRIUS_C8H12N2O15Si",446,442.962611964573,0.5680914,NA,"",67,NA,"",704,NA,"N","C8H12KN2O15Si+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saccharides","Halogenated fatty acids","Carbohydrates",0.942,0.649,0.359,"Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organometallic compounds; Carboxylic acids; Organometalloid compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities","Organic oxygen compounds",1,"Organooxygen compounds",0.991,"Carbohydrates and carbohydrate conjugates",0.717,"Monosaccharides",0.542,"Monosaccharides",0.542,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"C8H12N2O15Si","[M + K]+",0.985,0.749,45.581,45.581,0,23,0.81,-5.582,6.696,-2.805,"",442.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Feature_455","Feature_455_SIRIUS_C11H6O14",455,400.939475566695,0.56972754,NA,"",67,NA,"",704,NA,"N","C11H6KO14+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phenolic acids (C6-C1)","Gallotannins","Shikimates and Phenylpropanoids",0.97,0.951,0.594,"Organic compounds; Organoheterocyclic compounds; Lactones; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities","Benzenoids",0.902,"Phenols",0.656,"1-hydroxy-2-unsubstituted benzenoids",0.519,"",NA,"1-hydroxy-2-unsubstituted benzenoids",0.519,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"C11H6O14","[M + K]+",0.975,0.943,50.372,50.372,0,22,0.906,0.467,2.399,1.414,"",400.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
