Feature,mz,RT,Keep_hypothesis,Notes,Combined_Name
Feature_3288,153.0185697,0.9773403,0,,Feature_3288_CMMC_Ellagic Acid_FBMN_4-methoxy-3-[(4-methoxyphenoxy)methyl]benzaldehyde CollisionEnergy:102040_SIRIUS_C7H4O4
Feature_13450,259.0257175,3.5561466,0,,Feature_13450_CMMC_Caffeic acid_FBMN_Thelephoric acid_SIRIUS_C13H6O6
Feature_9894,259.026263,2.8224454,0,,Feature_9894_CMMC_Caffeic acid_FBMN_Gaultherin_SIRIUS_C13H6O6
Feature_6209,259.0266873,1.8866088,0,,"Feature_6209_CMMC_nalidixic acid_FBMN_""(2-Oxo-2,3-dihydro-1H-indol-3-yl)acetic acid CollisionEnergy:205060""_SIRIUS_C13H6O6"
Feature_8330,263.0192576,3.0568683,0,,Feature_8330_SIRIUS_C12H6O7
Feature_7827,265.034965,2.8349812,0,,Feature_7827_CMMC_Ellagic Acid_FBMN_175026-96-7_SIRIUS_C12H8O7
Feature_10294,275.0191837,3.14662,0,,Feature_10294_FBMN_4-HYDROXYPHENYL ACETIC ACID_SIRIUS_C13H6O7
Feature_2558,277.0327856,0.7870033,0,,Feature_2558_CMMC_D-(-)-quinic acid_FBMN_Valine_Dihydroxyacetone (known isomers: 0; isobaric peaks in run: 1)_SIRIUS_C13H8O7
Feature_7602,277.0347309,3.1645136,0,,Feature_7602_CMMC_D-(-)-quinic acid_FBMN_2-(hydroxymethyl)-5-methoxy-4H-pyran-4-one_SIRIUS_C13H8O7
Feature_6494,277.0347426,1.9570744,0,,Feature_6494_CMMC_D-(-)-quinic acid_FBMN_Alanine_Dihydroxyacetone (known isomers: 0; isobaric peaks in run: 2)_SIRIUS_C13H8O7
Feature_10908,277.0347839,3.703896,0,,Feature_10908_CMMC_D-(-)-quinic acid_FBMN_Alanine_Dihydroxyacetone (known isomers: 0; isobaric peaks in run: 2)_SIRIUS_C13H8O7
Feature_418,286.9587848,0.5690867,0,,Feature_418_SIRIUS_C11H4O7
Feature_4930,289.0350151,1.5544102,0,,"Feature_4930_CMMC_Ellagic Acid_FBMN_2,3,7,8-tetrahydroxychromeno[5,4,3-cde]chromene-5,10-dione_SIRIUS_C14H8O7"
Feature_53324,293.0296253,13.67247,0,,Feature_53324_CMMC_cinoxacin_FBMN_cinoxacin_SIRIUS_C13H8O8
Feature_6152,293.0298188,2.0206664,0,,Feature_6152_CMMC_cantharidin_FBMN_DHZBEENLJMYSHQ-UHFFFAOYSA-N CollisionEnergy:102040_SIRIUS_C13H8O8
Feature_3784,301.0369502,1.2435311,1,confirmed ellagic acid mass,Feature_3784_CMMC_Ellagic Acid_FBMN_cinoxacin_SIRIUS_C15H8O7
Feature_7208,303.0135201,2.5722637,0,ellagic acid mass but not convinced otherwise,Feature_7208_FBMN_Lupeol_SIRIUS_C14H6O8
Feature_8331,303.013838,3.0508938,1,confirmed ellagic acid mass and a few semi intense frags,Feature_8331_CMMC_Caffeic acid_FBMN_Quercitrin_SIRIUS_C14H6O8
Feature_2689,303.0140175,0.8494838,1,confirmed ellagic acid mass and a few semi intense frags,"Feature_2689_CMMC_Ellagic Acid_FBMN_1,8-dihydroxy-3-methylanthra-9,10-quinone_SIRIUS_C14H9O9"
Feature_4368,303.0140495,1.2423397,1,confirmed ellagic acid mass and a few semi intense frags,Feature_4368_CMMC_Ellagic Acid_FBMN_Spectral Match to Carboxyibuprofen from NIST14_SIRIUS_C14H6O8
Feature_10728,303.0141428,3.9709437,1,confirmed ellagic acid mass and a few semi intense frags,Feature_10728_CMMC_Quercetin_FBMN_quercetin CollisionEnergy:102040_SIRIUS_C14H6O8
Feature_6886,303.1056866,2.5327199,1,classic EA,Feature_6886_CMMC_Ellagic Acid_FBMN_NA
Feature_6948,303.1418842,2.8358712,1,classic EA frags,Feature_6948_CMMC_Ellagic Acid_FBMN_Panaxynol_SIRIUS_C14H22O7
Feature_6686,303.1420984,2.4289174,1,classic EA frags,"Feature_6686_CMMC_Ellagic Acid_FBMN_6,7-Dihydroxycoumarin;esculetin_SIRIUS_C14H22O7"
Feature_12277,309.0246545,3.47933,0,,"Feature_12277_CMMC_Emodin_FBMN_1,3,8-trihydroxy-6-methylanthra-9,10-quinone_SIRIUS_C13H8O9"
Feature_4399,317.0299237,1.1830237,0,like flav,Feature_4399_CMMC_Ellagic Acid_FBMN_MoNA:667436 HEPTENOPHOS_SIRIUS_C15H8O8
Feature_5207,321.0246739,1.5496923,1,looks more like a ellagic acid,Feature_5207_CMMC_Gallic acid_FBMN_Spectral Match to Gallic acid from NIST14_SIRIUS_C14H8O9
