"","V1","V2"
"1","JRD_CGM_354","2215318"
"2","JRD_CGM_355","2455487.8"
"3","JRD_CGM_356","2322409"
"4","JRD_CGM_357","2551284"
"5","JRD_CGM_358","2559461.8"
"6","JRD_CGM_359","1948027.9"
"7","JRD_CGM_360","2643583"
"8","JRD_CGM_361","1838865.2"
"9","JRD_CGM_362","2207392"
"10","JRD_CGM_363","1879324.4"
"11","JRD_CGM_364","2999858.5"
"12","JRD_CGM_365","4416563"
"13","JRD_CGM_366","2875977.2"
"14","JRD_CGM_367","3356736.8"
"15","JRD_CGM_368","2078058"
"16","JRD_HFA_MSM_1","0"
"17","JRD_HFA_MSM_10","2508382.2"
"18","JRD_HFA_MSM_100","2275555"
"19","JRD_HFA_MSM_102","2370820.8"
"20","JRD_HFA_MSM_103","2209454.8"
"21","JRD_HFA_MSM_104","2119348.2"
"22","JRD_HFA_MSM_105","1983649.1"
"23","JRD_HFA_MSM_106","2423099.5"
"24","JRD_HFA_MSM_107","2117317.2"
"25","JRD_HFA_MSM_108","1720306.8"
"26","JRD_HFA_MSM_109","1574042.6"
"27","JRD_HFA_MSM_11","2427800"
"28","JRD_HFA_MSM_110","2599061"
"29","JRD_HFA_MSM_111","1901200.8"
"30","JRD_HFA_MSM_112","1518669.8"
"31","JRD_HFA_MSM_113","2378507.5"
"32","JRD_HFA_MSM_114","1635785.5"
"33","JRD_HFA_MSM_115","2022031.4"
"34","JRD_HFA_MSM_116","2645412.2"
"35","JRD_HFA_MSM_117","2642575"
"36","JRD_HFA_MSM_118","1828311.6"
"37","JRD_HFA_MSM_119","1438378.1"
"38","JRD_HFA_MSM_12","2597828.2"
"39","JRD_HFA_MSM_120","2384072.5"
"40","JRD_HFA_MSM_121","2227835.8"
"41","JRD_HFA_MSM_122","1989339.2"
"42","JRD_HFA_MSM_123","1843126.5"
"43","JRD_HFA_MSM_124","2545024"
"44","JRD_HFA_MSM_125","1951394.4"
"45","JRD_HFA_MSM_126","1897098.8"
"46","JRD_HFA_MSM_127","1959557.4"
"47","JRD_HFA_MSM_128","2472881.2"
"48","JRD_HFA_MSM_129","1717403.5"
"49","JRD_HFA_MSM_13","2632610.2"
"50","JRD_HFA_MSM_130","2228651.5"
"51","JRD_HFA_MSM_131","2452684.8"
"52","JRD_HFA_MSM_132","2236601.2"
"53","JRD_HFA_MSM_133","1765545.6"
"54","JRD_HFA_MSM_134","2415700.8"
"55","JRD_HFA_MSM_135","1872512"
"56","JRD_HFA_MSM_136","1964547.9"
"57","JRD_HFA_MSM_137","2728031.5"
"58","JRD_HFA_MSM_138","1509309.1"
"59","JRD_HFA_MSM_139","1444783.1"
"60","JRD_HFA_MSM_14","2101100.5"
"61","JRD_HFA_MSM_140","2190088"
"62","JRD_HFA_MSM_141","2110489"
"63","JRD_HFA_MSM_142","2237838.2"
"64","JRD_HFA_MSM_143","2327054.5"
"65","JRD_HFA_MSM_144","1779989.2"
"66","JRD_HFA_MSM_145","1821094"
"67","JRD_HFA_MSM_146","2049671.2"
"68","JRD_HFA_MSM_147","1902658.2"
"69","JRD_HFA_MSM_148","2569063"
"70","JRD_HFA_MSM_149","1457444.2"
"71","JRD_HFA_MSM_15","2395681.5"
"72","JRD_HFA_MSM_150","2330562.8"
"73","JRD_HFA_MSM_151","1943446.8"
"74","JRD_HFA_MSM_152","2241405.5"
"75","JRD_HFA_MSM_153","2476219"
"76","JRD_HFA_MSM_154","2372891.5"
"77","JRD_HFA_MSM_155","2023976.5"
"78","JRD_HFA_MSM_156","2360447.5"
"79","JRD_HFA_MSM_157","2333690"
"80","JRD_HFA_MSM_158","2416887.5"
"81","JRD_HFA_MSM_159","1998396.2"
"82","JRD_HFA_MSM_16","2195745.2"
"83","JRD_HFA_MSM_160","2428360.2"
"84","JRD_HFA_MSM_161","1937200.2"
"85","JRD_HFA_MSM_162","2254497.5"
"86","JRD_HFA_MSM_163","1909040.6"
"87","JRD_HFA_MSM_164","2389812.2"
"88","JRD_HFA_MSM_165","2050831.4"
"89","JRD_HFA_MSM_166","1615523.4"
"90","JRD_HFA_MSM_167","1975199.2"
"91","JRD_HFA_MSM_168","2314005.5"
"92","JRD_HFA_MSM_169","2368507.5"
"93","JRD_HFA_MSM_17","2353026"
"94","JRD_HFA_MSM_170","2111118.5"
"95","JRD_HFA_MSM_171","2205511"
"96","JRD_HFA_MSM_172","2556209.8"
"97","JRD_HFA_MSM_173","1924427"
"98","JRD_HFA_MSM_174","2329224.2"
"99","JRD_HFA_MSM_175","2068828.4"
"100","JRD_HFA_MSM_176","2290476.5"
"101","JRD_HFA_MSM_177","1984418.5"
"102","JRD_HFA_MSM_178","1897285.5"
"103","JRD_HFA_MSM_179","2115920"
"104","JRD_HFA_MSM_18","2304105.5"
"105","JRD_HFA_MSM_180","2599516.5"
"106","JRD_HFA_MSM_181","2232642"
"107","JRD_HFA_MSM_182","2096716.5"
"108","JRD_HFA_MSM_183","1903161.1"
"109","JRD_HFA_MSM_184","2201471.8"
"110","JRD_HFA_MSM_185","1959223.2"
"111","JRD_HFA_MSM_186","1787512.9"
"112","JRD_HFA_MSM_187","2557721"
"113","JRD_HFA_MSM_188","2572940"
"114","JRD_HFA_MSM_189","1983498.9"
"115","JRD_HFA_MSM_19","2269502"
"116","JRD_HFA_MSM_190","1555177"
"117","JRD_HFA_MSM_191","2535041.8"
"118","JRD_HFA_MSM_192","1930174.8"
"119","JRD_HFA_MSM_193","2358878.8"
"120","JRD_HFA_MSM_194","1839127"
"121","JRD_HFA_MSM_195","1908017.6"
"122","JRD_HFA_MSM_196","1657675.9"
"123","JRD_HFA_MSM_197","2185884"
"124","JRD_HFA_MSM_198","1951188.8"
"125","JRD_HFA_MSM_199","1969514"
"126","JRD_HFA_MSM_2","1956796.5"
"127","JRD_HFA_MSM_20","2052416.8"
"128","JRD_HFA_MSM_200","2210314.5"
"129","JRD_HFA_MSM_201","1791263.6"
"130","JRD_HFA_MSM_202","1785358.9"
"131","JRD_HFA_MSM_203","2278056.2"
"132","JRD_HFA_MSM_204","1368934.4"
"133","JRD_HFA_MSM_205","2288358"
"134","JRD_HFA_MSM_206","2209667.8"
"135","JRD_HFA_MSM_207","1956501.2"
"136","JRD_HFA_MSM_208","1880896"
"137","JRD_HFA_MSM_209","2387195.5"
"138","JRD_HFA_MSM_21","1916071"
"139","JRD_HFA_MSM_210","1664332"
"140","JRD_HFA_MSM_211","1876381"
"141","JRD_HFA_MSM_212","1937291.2"
"142","JRD_HFA_MSM_213","1909873.4"
"143","JRD_HFA_MSM_214","2070834.1"
"144","JRD_HFA_MSM_215","2214165.8"
"145","JRD_HFA_MSM_216","1984734.4"
"146","JRD_HFA_MSM_217","2667002"
"147","JRD_HFA_MSM_218","1901480.4"
"148","JRD_HFA_MSM_219","1490009.9"
"149","JRD_HFA_MSM_22","1914632"
"150","JRD_HFA_MSM_220","2449416.2"
"151","JRD_HFA_MSM_221","2045550.6"
"152","JRD_HFA_MSM_222","2042704.8"
"153","JRD_HFA_MSM_223","2084169.9"
"154","JRD_HFA_MSM_224","2293174.2"
"155","JRD_HFA_MSM_225","2260224.5"
"156","JRD_HFA_MSM_226","1958440.5"
"157","JRD_HFA_MSM_227","2191974.8"
"158","JRD_HFA_MSM_228","1662039.6"
"159","JRD_HFA_MSM_229","2046673.1"
"160","JRD_HFA_MSM_23","2525554.5"
"161","JRD_HFA_MSM_230","1947104"
"162","JRD_HFA_MSM_231","1811898.2"
"163","JRD_HFA_MSM_232","2395112.5"
"164","JRD_HFA_MSM_233","2257179.5"
"165","JRD_HFA_MSM_234","2351202.5"
"166","JRD_HFA_MSM_235","1966390"
"167","JRD_HFA_MSM_236","2512898.2"
"168","JRD_HFA_MSM_237","2093879.4"
"169","JRD_HFA_MSM_238","2259084"
"170","JRD_HFA_MSM_239","1600412.5"
"171","JRD_HFA_MSM_24","2011550.6"
